155,16,2,24.0,139.0,143.0:
156,16,18,18.0,123.0,126.0:
157,16,18,46.0,137.0,146.0:
158,16,18,151.0,186.0,188.0:
159,16,18,146.0,181.0,188.0:
160,16,18,109.0,140.0,151.0:
161,16,18,18.0,139.0,142.0:
162,16,18,126.0,142.0,152.0:
163,16,17,7.0,137.0,140.0:
164,16,16,59.0,70.0,77.0:
165,16,16,60.0,141.0,147.0:
166,16,16,10.0,140.0,140.0:
167,16,16,135.0,186.0,187.0:
168,16,16,22.0,172.0,178.0:
169,16,16,141.0,195.0,207.0:
170,16,16,51.0,126.0,130.0:
171,16,16,11.0,137.0,141.0:
172,16,16,51.0,111.0,115.0:
173,16,16,109.0,157.0,168.0:
174,16,16,20.0,176.0,177.0:
175,16,16,110.0,176.0,186.0:
176,16,16,16.0,106.0,111.0:
177,16,16,147.0,201.0,207.0:
178,16,16,13.0,174.0,176.0:
179,16,15,49.0,124.0,130.0:
180,16,15,9.0,18.0,19.0:
181,16,15,152.0,187.0,188.0:
182,16,15,52.0,178.0,181.0:
183,16,14,4.0,56.0,58.0:
184,16,11,61.0,177.0,182.0:
185,16,11,27.0,126.0,127.0:
186,16,10,8.0,173.0,175.0:
187,16,10,142.0,177.0,188.0:
188,16,0,51.0,142.0,146.0:
